session_id,scenario_group,split,planned_label,service,mode,is_genai,profile,status,date,packet_file,ready_time,duration,provenance,device_id,app_version,capture_drops
g01-c0-p2,scenario-01,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g10-c4-p1,scenario-10,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g07-c4-p2,scenario-07,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g00-c1-p1,scenario-00,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g06-c5-p2,scenario-06,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g10-c5-p1,scenario-10,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g00-c5-p2,scenario-00,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g04-c5-p2,scenario-04,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g10-c0-p0,scenario-10,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g06-c4-p2,scenario-06,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g06-c1-p1,scenario-06,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g08-c4-p0,scenario-08,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g10-c3-p1,scenario-10,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g04-c5-p0,scenario-04,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g00-c5-p0,scenario-00,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g11-c1-p2,scenario-11,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g11-c4-p1,scenario-11,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g05-c0-p0,scenario-05,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g01-c4-p1,scenario-01,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g04-c1-p2,scenario-04,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g01-c0-p1,scenario-01,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g03-c2-p2,scenario-03,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g10-c2-p2,scenario-10,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g10-c4-p0,scenario-10,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g10-c5-p2,scenario-10,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g00-c3-p0,scenario-00,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
